,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,5509,ASHAD 2079,CMF1,820000000
1,CBL,1,ASHAD 2079,CMF1,820000000
2,CZBIL,1,ASHAD 2079,CMF1,820000000
3,EBL,1012,ASHAD 2079,CMF1,820000000
4,GBIME,73651,ASHAD 2079,CMF1,820000000
5,HBL,28582,ASHAD 2079,CMF1,820000000
6,KBL,85185,ASHAD 2079,CMF1,820000000
7,LBL,14602,ASHAD 2079,CMF1,820000000
8,MBL,63213,ASHAD 2079,CMF1,820000000
9,MEGA,80449,ASHAD 2079,CMF1,820000000
10,NBB,1456,ASHAD 2079,CMF1,820000000
11,NBL,8353,ASHAD 2079,CMF1,820000000
12,NIBPO,3354,ASHAD 2079,CMF1,820000000
13,NIB,3130,ASHAD 2079,CMF1,820000000
14,NICA,48360,ASHAD 2079,CMF1,820000000
15,NMB,79242,ASHAD 2079,CMF1,820000000
16,PRVU,76747,ASHAD 2079,CMF1,820000000
17,PCBL,75357,ASHAD 2079,CMF1,820000000
18,SANIMA,50598,ASHAD 2079,CMF1,820000000
19,SBL,34818,ASHAD 2079,CMF1,820000000
20,SCB,4189,ASHAD 2079,CMF1,820000000
21,EDBL,1,ASHAD 2079,CMF1,820000000
22,GBBL,11490,ASHAD 2079,CMF1,820000000
23,JBBL,4781,ASHAD 2079,CMF1,820000000
24,KSBBL,3077,ASHAD 2079,CMF1,820000000
25,LBBL,22635,ASHAD 2079,CMF1,820000000
26,MLBL,3657,ASHAD 2079,CMF1,820000000
27,MNBBL,15513,ASHAD 2079,CMF1,820000000
28,SADBL,1,ASHAD 2079,CMF1,820000000
29,SHINE,401,ASHAD 2079,CMF1,820000000
30,CFCL,3,ASHAD 2079,CMF1,820000000
31,GFCL,5882,ASHAD 2079,CMF1,820000000
32,ICFC,4496,ASHAD 2079,CMF1,820000000
33,JFL,3795,ASHAD 2079,CMF1,820000000
34,SIFC,1,ASHAD 2079,CMF1,820000000
35,OHL,1,ASHAD 2079,CMF1,820000000
36,API,1464,ASHAD 2079,CMF1,820000000
37,DORDI,3470,ASHAD 2079,CMF1,820000000
38,BHL,3215,ASHAD 2079,CMF1,820000000
39,SHPC,6470,ASHAD 2079,CMF1,820000000
40,ALICL,21025,ASHAD 2079,CMF1,820000000
41,JLI,1000,ASHAD 2079,CMF1,820000000
42,LICN,6742,ASHAD 2079,CMF1,820000000
43,NLICL,11876,ASHAD 2079,CMF1,820000000
44,NLIC,26744,ASHAD 2079,CMF1,820000000
45,PLIC,18255,ASHAD 2079,CMF1,820000000
46,SLI,521,ASHAD 2079,CMF1,820000000
47,SLICL,9453,ASHAD 2079,CMF1,820000000
48,ACLBSL,4,ASHAD 2079,CMF1,820000000
49,CBBL,27603,ASHAD 2079,CMF1,820000000
50,CYCL,742,ASHAD 2079,CMF1,820000000
51,DDBL,20643,ASHAD 2079,CMF1,820000000
52,GILB,1071,ASHAD 2079,CMF1,820000000
53,ILBS,1548,ASHAD 2079,CMF1,820000000
54,KMCDB,1,ASHAD 2079,CMF1,820000000
55,MERO,1191,ASHAD 2079,CMF1,820000000
56,NMFBS,540,ASHAD 2079,CMF1,820000000
57,NUBL,21019,ASHAD 2079,CMF1,820000000
58,RMDC,2278,ASHAD 2079,CMF1,820000000
59,SABSL,9,ASHAD 2079,CMF1,820000000
60,SKBBL,7257,ASHAD 2079,CMF1,820000000
61,SWBBL,6424,ASHAD 2079,CMF1,820000000
62,ULBSL,250,ASHAD 2079,CMF1,820000000
63,NIL,17912,ASHAD 2079,CMF1,820000000
64,NLG,2420,ASHAD 2079,CMF1,820000000
65,PRIN,2487,ASHAD 2079,CMF1,820000000
66,PIC,16283,ASHAD 2079,CMF1,820000000
67,SIC,14834,ASHAD 2079,CMF1,820000000
68,SICL,26670,ASHAD 2079,CMF1,820000000
69,SIL,16385,ASHAD 2079,CMF1,820000000
70,MMF1,50000,ASHAD 2079,CMF1,820000000
71,NIBLSF,250000,ASHAD 2079,CMF1,820000000
72,SHIVM,1724,ASHAD 2079,CMF1,820000000
73,CIT,696,ASHAD 2079,CMF1,820000000
74,NTC,54,ASHAD 2079,CMF1,820000000
75,NRIC,500,ASHAD 2079,CMF1,820000000
76,ADLBSL,156,ASHAD 2079,CMF1,820000000
77,SAMAJ,195,ASHAD 2079,CMF1,820000000
78,BHDC,3500,ASHAD 2079,CMF1,820000000
79,HHL,4593,ASHAD 2079,CMF1,820000000
80,MHL,2744,ASHAD 2079,CMF1,820000000
81,RAPTI,5916,ASHAD 2079,CMF1,820000000
82,SGHCL,5576,ASHAD 2079,CMF1,820000000
83,UHHCL,3500,ASHAD 2079,CMF1,820000000
84,USHEL,4568,ASHAD 2079,CMF1,820000000
85,KDBY,200000,ASHAD 2079,CMF1,820000000
86,NICFC,250000,ASHAD 2079,CMF1,820000000
87,EBL,362,ASHAD 2079,CMF2,560000000
88,GBIME,47474,ASHAD 2079,CMF2,560000000
89,HBL,27281,ASHAD 2079,CMF2,560000000
90,KBL,59727,ASHAD 2079,CMF2,560000000
91,LBL,16624,ASHAD 2079,CMF2,560000000
92,MEGA,50813,ASHAD 2079,CMF2,560000000
93,MBL,46072,ASHAD 2079,CMF2,560000000
94,NBB,2464,ASHAD 2079,CMF2,560000000
95,NBL,1897,ASHAD 2079,CMF2,560000000
96,NIB,5630,ASHAD 2079,CMF2,560000000
97,NIBPO,683,ASHAD 2079,CMF2,560000000
98,SBI,1035,ASHAD 2079,CMF2,560000000
99,NICA,35324,ASHAD 2079,CMF2,560000000
100,NMB,54457,ASHAD 2079,CMF2,560000000
101,PRVU,52849,ASHAD 2079,CMF2,560000000
102,PCBL,57784,ASHAD 2079,CMF2,560000000
103,SANIMA,35228,ASHAD 2079,CMF2,560000000
104,SBL,24100,ASHAD 2079,CMF2,560000000
105,SCB,4410,ASHAD 2079,CMF2,560000000
106,EDBL,1421,ASHAD 2079,CMF2,560000000
107,GBBL,4889,ASHAD 2079,CMF2,560000000
108,JBBL,10884,ASHAD 2079,CMF2,560000000
109,LBBL,10550,ASHAD 2079,CMF2,560000000
110,KSBBL,4160,ASHAD 2079,CMF2,560000000
111,MLBL,3734,ASHAD 2079,CMF2,560000000
112,MDB,2131,ASHAD 2079,CMF2,560000000
113,MNBBL,13206,ASHAD 2079,CMF2,560000000
114,SHINE,2461,ASHAD 2079,CMF2,560000000
115,ICFC,6502,ASHAD 2079,CMF2,560000000
116,GFCL,3721,ASHAD 2079,CMF2,560000000
117,JFL,2530,ASHAD 2079,CMF2,560000000
118,PFL,199,ASHAD 2079,CMF2,560000000
119,SIFC,1128,ASHAD 2079,CMF2,560000000
120,API,2300,ASHAD 2079,CMF2,560000000
121,CHCL,1100,ASHAD 2079,CMF2,560000000
122,SHPC,9500,ASHAD 2079,CMF2,560000000
123,ALICL,17419,ASHAD 2079,CMF2,560000000
124,JLI,1315,ASHAD 2079,CMF2,560000000
125,LICN,6032,ASHAD 2079,CMF2,560000000
126,NLICL,8404,ASHAD 2079,CMF2,560000000
127,NLIC,19127,ASHAD 2079,CMF2,560000000
