,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,4100,Ashwin 2078,CMF1,820000000
1,CBL,1,Ashwin 2078,CMF1,820000000
2,EBL,490,Ashwin 2078,CMF1,820000000
3,GBIME,66774,Ashwin 2078,CMF1,820000000
4,HBL,23548,Ashwin 2078,CMF1,820000000
5,KBL,70256,Ashwin 2078,CMF1,820000000
6,LBL,570,Ashwin 2078,CMF1,820000000
7,MBL,1541,Ashwin 2078,CMF1,820000000
8,MEGA,68887,Ashwin 2078,CMF1,820000000
9,NABIL,14974,Ashwin 2078,CMF1,820000000
10,NBB,1300,Ashwin 2078,CMF1,820000000
11,NBL,6845,Ashwin 2078,CMF1,820000000
12,NIBPO,2979,Ashwin 2078,CMF1,820000000
13,NIB,5000,Ashwin 2078,CMF1,820000000
14,NICA,43568,Ashwin 2078,CMF1,820000000
15,NMB,57202,Ashwin 2078,CMF1,820000000
16,PRVU,66738,Ashwin 2078,CMF1,820000000
17,PCBL,58296,Ashwin 2078,CMF1,820000000
18,SANIMA,23089,Ashwin 2078,CMF1,820000000
19,SBL,50756,Ashwin 2078,CMF1,820000000
20,SCB,556,Ashwin 2078,CMF1,820000000
21,GBBL,20337,Ashwin 2078,CMF1,820000000
22,JBBL,1460,Ashwin 2078,CMF1,820000000
23,LBBL,22001,Ashwin 2078,CMF1,820000000
24,KSBBL,5949,Ashwin 2078,CMF1,820000000
25,MNBBL,14635,Ashwin 2078,CMF1,820000000
26,MLBL,1,Ashwin 2078,CMF1,820000000
27,MDB,30,Ashwin 2078,CMF1,820000000
28,SHINE,1000,Ashwin 2078,CMF1,820000000
29,SADBL,1,Ashwin 2078,CMF1,820000000
30,CFCL,3,Ashwin 2078,CMF1,820000000
31,SIFC,1,Ashwin 2078,CMF1,820000000
32,OHL,1,Ashwin 2078,CMF1,820000000
33,MKJC,678,Ashwin 2078,CMF1,820000000
34,SHPC,770,Ashwin 2078,CMF1,820000000
35,ALICL,13964,Ashwin 2078,CMF1,820000000
36,LICN,6277,Ashwin 2078,CMF1,820000000
37,NLICL,8361,Ashwin 2078,CMF1,820000000
38,NLIC,22613,Ashwin 2078,CMF1,820000000
39,PLIC,8996,Ashwin 2078,CMF1,820000000
40,ULI,12641,Ashwin 2078,CMF1,820000000
41,SLI,12307,Ashwin 2078,CMF1,820000000
42,SLICL,8,Ashwin 2078,CMF1,820000000
43,ACLBSL,3,Ashwin 2078,CMF1,820000000
44,CBBL,20593,Ashwin 2078,CMF1,820000000
45,DDBL,18218,Ashwin 2078,CMF1,820000000
46,NUBL,15825,Ashwin 2078,CMF1,820000000
47,RMDC,4205,Ashwin 2078,CMF1,820000000
48,GILB,100,Ashwin 2078,CMF1,820000000
49,NMFBS,350,Ashwin 2078,CMF1,820000000
50,MLBS,844,Ashwin 2078,CMF1,820000000
51,SABSL,7,Ashwin 2078,CMF1,820000000
52,SWBBL,14102,Ashwin 2078,CMF1,820000000
53,JBLB,3523,Ashwin 2078,CMF1,820000000
54,FOWAD,2678,Ashwin 2078,CMF1,820000000
55,SKBBL,9904,Ashwin 2078,CMF1,820000000
56,NIL,14026,Ashwin 2078,CMF1,820000000
57,NLG,1900,Ashwin 2078,CMF1,820000000
58,PICL,2,Ashwin 2078,CMF1,820000000
59,PRIN,1,Ashwin 2078,CMF1,820000000
60,SICL,19403,Ashwin 2078,CMF1,820000000
61,PIC,12019,Ashwin 2078,CMF1,820000000
62,SIC,10882,Ashwin 2078,CMF1,820000000
63,SIL,9846,Ashwin 2078,CMF1,820000000
64,NIBLSF,250000,Ashwin 2078,CMF1,820000000
65,HDL,350,Ashwin 2078,CMF1,820000000
66,CIT,696,Ashwin 2078,CMF1,820000000
67,NTC,4,Ashwin 2078,CMF1,820000000
68,SAMAJ,195,Ashwin 2078,CMF1,820000000
69,TPC,1714,Ashwin 2078,CMF1,820000000
70,BNHC,1600,Ashwin 2078,CMF1,820000000
71,MBKHCL,18000,Ashwin 2078,CMF1,820000000
72,SPCL,1460,Ashwin 2078,CMF1,820000000
73,NYADI,4500,Ashwin 2078,CMF1,820000000
74,SAHAS,14000,Ashwin 2078,CMF1,820000000
75,MEGAMF1,50000,Ashwin 2078,CMF1,820000000
76,ADBL,15590,Ashwin 2078,CMF2,560000000
77,EBL,200,Ashwin 2078,CMF2,560000000
78,GBIME,42704,Ashwin 2078,CMF2,560000000
79,HBL,22270,Ashwin 2078,CMF2,560000000
80,KBL,40900,Ashwin 2078,CMF2,560000000
81,LBL,600,Ashwin 2078,CMF2,560000000
82,MEGA,34000,Ashwin 2078,CMF2,560000000
83,NABIL,44250,Ashwin 2078,CMF2,560000000
84,NBB,2200,Ashwin 2078,CMF2,560000000
85,NBL,4418,Ashwin 2078,CMF2,560000000
86,NIB,5000,Ashwin 2078,CMF2,560000000
87,NIBPO,607,Ashwin 2078,CMF2,560000000
88,SBI,1000,Ashwin 2078,CMF2,560000000
89,NICA,27430,Ashwin 2078,CMF2,560000000
90,NMB,40609,Ashwin 2078,CMF2,560000000
91,PRVU,38289,Ashwin 2078,CMF2,560000000
92,PCBL,37100,Ashwin 2078,CMF2,560000000
93,SANIMA,12345,Ashwin 2078,CMF2,560000000
94,SBL,27200,Ashwin 2078,CMF2,560000000
95,EDBL,1120,Ashwin 2078,CMF2,560000000
96,GBBL,8844,Ashwin 2078,CMF2,560000000
97,JBBL,1659,Ashwin 2078,CMF2,560000000
98,LBBL,7220,Ashwin 2078,CMF2,560000000
99,KSBBL,4050,Ashwin 2078,CMF2,560000000
100,MDB,1880,Ashwin 2078,CMF2,560000000
101,MNBBL,7781,Ashwin 2078,CMF2,560000000
102,SHINE,1500,Ashwin 2078,CMF2,560000000
103,ICFC,5620,Ashwin 2078,CMF2,560000000
104,PFL,185,Ashwin 2078,CMF2,560000000
105,SIFC,2550,Ashwin 2078,CMF2,560000000
106,SHPC,664,Ashwin 2078,CMF2,560000000
107,MKJC,310,Ashwin 2078,CMF2,560000000
108,ALICL,11511,Ashwin 2078,CMF2,560000000
109,LICN,4935,Ashwin 2078,CMF2,560000000
