,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,5509,BAISAKH 2079,CMF1,820000000
1,CBL,1,BAISAKH 2079,CMF1,820000000
2,CZBIL,1,BAISAKH 2079,CMF1,820000000
3,EBL,1012,BAISAKH 2079,CMF1,820000000
4,GBIME,73451,BAISAKH 2079,CMF1,820000000
5,HBL,28582,BAISAKH 2079,CMF1,820000000
6,KBL,74472,BAISAKH 2079,CMF1,820000000
7,LBL,14602,BAISAKH 2079,CMF1,820000000
8,MBL,41426,BAISAKH 2079,CMF1,820000000
9,MEGA,80449,BAISAKH 2079,CMF1,820000000
10,NABIL,5592,BAISAKH 2079,CMF1,820000000
11,NBB,1456,BAISAKH 2079,CMF1,820000000
12,NBL,8353,BAISAKH 2079,CMF1,820000000
13,NIBPO,3353,BAISAKH 2079,CMF1,820000000
14,NIB,5630,BAISAKH 2079,CMF1,820000000
15,NICA,44468,BAISAKH 2079,CMF1,820000000
16,NMB,65652,BAISAKH 2079,CMF1,820000000
17,PRVU,75447,BAISAKH 2079,CMF1,820000000
18,PCBL,55760,BAISAKH 2079,CMF1,820000000
19,SANIMA,49728,BAISAKH 2079,CMF1,820000000
20,SBL,55600,BAISAKH 2079,CMF1,820000000
21,SCB,911,BAISAKH 2079,CMF1,820000000
22,EDBL,1,BAISAKH 2079,CMF1,820000000
23,GBBL,14194,BAISAKH 2079,CMF1,820000000
24,JBBL,4781,BAISAKH 2079,CMF1,820000000
25,KSBBL,3077,BAISAKH 2079,CMF1,820000000
26,LBBL,22635,BAISAKH 2079,CMF1,820000000
27,MLBL,3657,BAISAKH 2079,CMF1,820000000
28,MNBBL,15513,BAISAKH 2079,CMF1,820000000
29,SADBL,1,BAISAKH 2079,CMF1,820000000
30,SHINE,401,BAISAKH 2079,CMF1,820000000
31,CFCL,3,BAISAKH 2079,CMF1,820000000
32,GFCL,5882,BAISAKH 2079,CMF1,820000000
33,ICFC,4496,BAISAKH 2079,CMF1,820000000
34,JFL,3795,BAISAKH 2079,CMF1,820000000
35,SIFC,1,BAISAKH 2079,CMF1,820000000
36,OHL,1498,BAISAKH 2079,CMF1,820000000
37,TRH,1800,BAISAKH 2079,CMF1,820000000
38,API,1464,BAISAKH 2079,CMF1,820000000
39,BPCL,21,BAISAKH 2079,CMF1,820000000
40,CHCL,1200,BAISAKH 2079,CMF1,820000000
41,GVL,6682,BAISAKH 2079,CMF1,820000000
42,MBJC,4320,BAISAKH 2079,CMF1,820000000
43,RADHI,900,BAISAKH 2079,CMF1,820000000
44,SHPC,6470,BAISAKH 2079,CMF1,820000000
45,ALICL,20885,BAISAKH 2079,CMF1,820000000
46,JLI,1000,BAISAKH 2079,CMF1,820000000
47,LICN,7242,BAISAKH 2079,CMF1,820000000
48,NLICL,9960,BAISAKH 2079,CMF1,820000000
49,NLIC,25984,BAISAKH 2079,CMF1,820000000
50,PLIC,18255,BAISAKH 2079,CMF1,820000000
51,SLI,500,BAISAKH 2079,CMF1,820000000
52,SLICL,9453,BAISAKH 2079,CMF1,820000000
53,ACLBSL,4,BAISAKH 2079,CMF1,820000000
54,CBBL,27091,BAISAKH 2079,CMF1,820000000
55,DDBL,20113,BAISAKH 2079,CMF1,820000000
56,FOWAD,2974,BAISAKH 2079,CMF1,820000000
57,GILB,1071,BAISAKH 2079,CMF1,820000000
58,ILBS,1548,BAISAKH 2079,CMF1,820000000
59,JALPA,620,BAISAKH 2079,CMF1,820000000
60,JBLB,334,BAISAKH 2079,CMF1,820000000
61,KMCDB,1,BAISAKH 2079,CMF1,820000000
62,MERO,1191,BAISAKH 2079,CMF1,820000000
63,NMFBS,540,BAISAKH 2079,CMF1,820000000
64,NESDO,1477,BAISAKH 2079,CMF1,820000000
65,NUBL,20284,BAISAKH 2079,CMF1,820000000
