,Stock,Quantity,Month,MFundName,%age holdings
0,ADBL,4100,Bhadra 2078,CMF1,0.0024506771340466597
1,CBL,1,Bhadra 2078,CMF1,5.977261302552828e-07
2,EBL,490,Bhadra 2078,CMF1,0.0002928858038250886
3,GBIME,66774,Bhadra 2078,CMF1,0.03991256462166626
4,HBL,23548,Bhadra 2078,CMF1,0.014075254915251401
5,KBL,70256,Bhadra 2078,CMF1,0.04199384700721515
6,LBL,570,Bhadra 2078,CMF1,0.0003407038942455112
7,MBL,1541,Bhadra 2078,CMF1,0.0009210959667233909
8,MEGA,68887,Bhadra 2078,CMF1,0.04117555993489567
9,NABIL,14974,Bhadra 2078,CMF1,0.008950351074442605
10,NBB,1300,Bhadra 2078,CMF1,0.0007770439693318678
11,NBL,7300,Bhadra 2078,CMF1,0.004363400750863565
12,NIBPO,2979,Bhadra 2078,CMF1,0.0017806261420304876
13,NIB,5000,Bhadra 2078,CMF1,0.0029886306512764142
14,NICA,43568,Bhadra 2078,CMF1,0.026041732042962163
15,NMB,57202,Bhadra 2078,CMF1,0.03419113010286269
16,PRVU,66738,Bhadra 2078,CMF1,0.03989104648097707
17,PCBL,65301,Bhadra 2078,CMF1,0.03903211403180023
18,SANIMA,23089,Bhadra 2078,CMF1,0.013800898621464226
19,SBL,50756,Bhadra 2078,CMF1,0.030338187467237137
20,SCB,556,Bhadra 2078,CMF1,0.00033233572842193725
21,GBBL,22037,Bhadra 2078,CMF1,0.013172090732435669
22,JBBL,1860,Bhadra 2078,CMF1,0.0011117706022748261
23,LBBL,22001,Bhadra 2078,CMF1,0.013150572591746477
24,KSBBL,12296,Bhadra 2078,CMF1,0.007349640497618958
25,MNBBL,14635,Bhadra 2078,CMF1,0.008747721916286064
26,MLBL,1,Bhadra 2078,CMF1,5.977261302552828e-07
27,MDB,1030,Bhadra 2078,CMF1,0.0006156579141629413
28,SHINE,1000,Bhadra 2078,CMF1,0.0005977261302552828
29,SADBL,1,Bhadra 2078,CMF1,5.977261302552828e-07
30,CFCL,3,Bhadra 2078,CMF1,1.7931783907658487e-06
31,ICFC,4300,Bhadra 2078,CMF1,0.0025702223600977164
32,SIFC,1126,Bhadra 2078,CMF1,0.0006730396226674485
33,OHL,1,Bhadra 2078,CMF1,5.977261302552828e-07
34,SHPC,700,Bhadra 2078,CMF1,0.000418408291178698
35,ALICL,13964,Bhadra 2078,CMF1,0.00834664768288477
36,LICN,6277,Bhadra 2078,CMF1,0.0037519269196124106
37,NLICL,8361,Bhadra 2078,CMF1,0.00499758817506442
38,NLIC,22613,Bhadra 2078,CMF1,0.01351638098346271
39,PLIC,8996,Bhadra 2078,CMF1,0.005377144267776524
40,ULI,13141,Bhadra 2078,CMF1,0.007854719077684673
41,SLI,12607,Bhadra 2078,CMF1,0.0075355333241283505
42,SLICL,8,Bhadra 2078,CMF1,4.781809042042263e-06
43,AKBSL,3,Bhadra 2078,CMF1,1.7931783907658487e-06
44,CBBL,20593,Bhadra 2078,CMF1,0.01230897420034704
45,DDBL,15182,Bhadra 2078,CMF1,0.009074678109535704
46,NUBL,15825,Bhadra 2078,CMF1,0.009459016011289852
47,RMDC,4205,Bhadra 2078,CMF1,0.0025134383777234643
