,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,4920,FALGUN 2078,CMF1,820000000
1,CBL,1,FALGUN 2078,CMF1,820000000
2,CZBIL,1,FALGUN 2078,CMF1,820000000
3,EBL,519,FALGUN 2078,CMF1,820000000
4,GBIME,73451,FALGUN 2078,CMF1,820000000
5,HBL,28582,FALGUN 2078,CMF1,820000000
6,KBL,74472,FALGUN 2078,CMF1,820000000
7,LBL,14201,FALGUN 2078,CMF1,820000000
8,MBL,37676,FALGUN 2078,CMF1,820000000
9,MEGA,80449,FALGUN 2078,CMF1,820000000
10,NABIL,4992,FALGUN 2078,CMF1,820000000
11,NBB,1456,FALGUN 2078,CMF1,820000000
12,NBL,7803,FALGUN 2078,CMF1,820000000
13,NIBPO,3353,FALGUN 2078,CMF1,820000000
14,NIB,5630,FALGUN 2078,CMF1,820000000
15,NICA,44468,FALGUN 2078,CMF1,820000000
16,NMB,65652,FALGUN 2078,CMF1,820000000
17,PRVU,75446,FALGUN 2078,CMF1,820000000
18,PCBL,55760,FALGUN 2078,CMF1,820000000
19,SANIMA,48737,FALGUN 2078,CMF1,820000000
20,SBL,55300,FALGUN 2078,CMF1,820000000
21,SCB,611,FALGUN 2078,CMF1,820000000
22,GBBL,12150,FALGUN 2078,CMF1,820000000
23,JBBL,4531,FALGUN 2078,CMF1,820000000
24,LBBL,22635,FALGUN 2078,CMF1,820000000
25,KSBBL,3077,FALGUN 2078,CMF1,820000000
26,MNBBL,15363,FALGUN 2078,CMF1,820000000
27,MLBL,3141,FALGUN 2078,CMF1,820000000
28,EDBL,1,FALGUN 2078,CMF1,820000000
29,SHINE,301,FALGUN 2078,CMF1,820000000
30,SADBL,1,FALGUN 2078,CMF1,820000000
31,CFCL,3,FALGUN 2078,CMF1,820000000
32,ICFC,4496,FALGUN 2078,CMF1,820000000
33,JFL,3795,FALGUN 2078,CMF1,820000000
34,GFCL,5882,FALGUN 2078,CMF1,820000000
35,SIFC,1,FALGUN 2078,CMF1,820000000
36,OHL,1298,FALGUN 2078,CMF1,820000000
37,TRH,1600,FALGUN 2078,CMF1,820000000
38,BPCL,21,FALGUN 2078,CMF1,820000000
39,MBJC,4690,FALGUN 2078,CMF1,820000000
40,RADHI,1000,FALGUN 2078,CMF1,820000000
41,API,1050,FALGUN 2078,CMF1,820000000
42,CHCL,1200,FALGUN 2078,CMF1,820000000
43,SHPC,6470,FALGUN 2078,CMF1,820000000
44,ALICL,20885,FALGUN 2078,CMF1,820000000
45,LICN,7242,FALGUN 2078,CMF1,820000000
46,NLICL,9560,FALGUN 2078,CMF1,820000000
47,NLIC,22793,FALGUN 2078,CMF1,820000000
48,PLIC,18255,FALGUN 2078,CMF1,820000000
49,SLICL,8537,FALGUN 2078,CMF1,820000000
50,ACLBSL,4,FALGUN 2078,CMF1,820000000
51,CBBL,27091,FALGUN 2078,CMF1,820000000
52,DDBL,20013,FALGUN 2078,CMF1,820000000
53,NUBL,20284,FALGUN 2078,CMF1,820000000
54,RMDC,2278,FALGUN 2078,CMF1,820000000
55,GILB,1071,FALGUN 2078,CMF1,820000000
56,NMFBS,540,FALGUN 2078,CMF1,820000000
57,KMCDB,1,FALGUN 2078,CMF1,820000000
58,SABSL,7,FALGUN 2078,CMF1,820000000
59,SWBBL,12071,FALGUN 2078,CMF1,820000000
60,JBLB,245,FALGUN 2078,CMF1,820000000
61,FOWAD,2974,FALGUN 2078,CMF1,820000000
