,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,5509,JESTHA 2079,CMF1,820000000
1,CBL,1,JESTHA 2079,CMF1,820000000
2,CZBIL,1,JESTHA 2079,CMF1,820000000
3,EBL,1012,JESTHA 2079,CMF1,820000000
4,GBIME,73451,JESTHA 2079,CMF1,820000000
5,HBL,28582,JESTHA 2079,CMF1,820000000
6,KBL,74972,JESTHA 2079,CMF1,820000000
7,LBL,14602,JESTHA 2079,CMF1,820000000
8,MBL,47618,JESTHA 2079,CMF1,820000000
9,MEGA,80449,JESTHA 2079,CMF1,820000000
10,NABIL,1550,JESTHA 2079,CMF1,820000000
11,NCCB,3900,JESTHA 2079,CMF1,820000000
12,NBB,1456,JESTHA 2079,CMF1,820000000
13,NBL,8353,JESTHA 2079,CMF1,820000000
14,NIBPO,3353,JESTHA 2079,CMF1,820000000
15,NIB,3130,JESTHA 2079,CMF1,820000000
16,NICA,46968,JESTHA 2079,CMF1,820000000
17,NMB,65652,JESTHA 2079,CMF1,820000000
18,PRVU,75447,JESTHA 2079,CMF1,820000000
19,PCBL,59147,JESTHA 2079,CMF1,820000000
20,SANIMA,49728,JESTHA 2079,CMF1,820000000
21,SBL,34098,JESTHA 2079,CMF1,820000000
22,SCB,2661,JESTHA 2079,CMF1,820000000
23,EDBL,1,JESTHA 2079,CMF1,820000000
24,GBBL,12115,JESTHA 2079,CMF1,820000000
25,JBBL,4781,JESTHA 2079,CMF1,820000000
26,KSBBL,3077,JESTHA 2079,CMF1,820000000
27,LBBL,22635,JESTHA 2079,CMF1,820000000
28,MLBL,3657,JESTHA 2079,CMF1,820000000
29,MNBBL,15513,JESTHA 2079,CMF1,820000000
30,SADBL,1,JESTHA 2079,CMF1,820000000
31,SHINE,401,JESTHA 2079,CMF1,820000000
32,CFCL,3,JESTHA 2079,CMF1,820000000
33,GFCL,5882,JESTHA 2079,CMF1,820000000
34,ICFC,4496,JESTHA 2079,CMF1,820000000
35,JFL,3795,JESTHA 2079,CMF1,820000000
36,SIFC,1,JESTHA 2079,CMF1,820000000
37,OHL,1,JESTHA 2079,CMF1,820000000
38,API,1464,JESTHA 2079,CMF1,820000000
39,BHL,3215,JESTHA 2079,CMF1,820000000
40,SHPC,6470,JESTHA 2079,CMF1,820000000
41,ALICL,20885,JESTHA 2079,CMF1,820000000
42,JLI,1000,JESTHA 2079,CMF1,820000000
43,LICN,7242,JESTHA 2079,CMF1,820000000
44,NLICL,11776,JESTHA 2079,CMF1,820000000
45,NLIC,25984,JESTHA 2079,CMF1,820000000
46,PLIC,18255,JESTHA 2079,CMF1,820000000
47,SLI,500,JESTHA 2079,CMF1,820000000
48,SLICL,9453,JESTHA 2079,CMF1,820000000
49,ACLBSL,4,JESTHA 2079,CMF1,820000000
50,CBBL,27091,JESTHA 2079,CMF1,820000000
51,CYCL,922,JESTHA 2079,CMF1,820000000
52,DDBL,20113,JESTHA 2079,CMF1,820000000
53,FOWAD,902,JESTHA 2079,CMF1,820000000
54,GILB,1071,JESTHA 2079,CMF1,820000000
55,ILBS,1548,JESTHA 2079,CMF1,820000000
56,JALPA,164,JESTHA 2079,CMF1,820000000
57,KMCDB,1,JESTHA 2079,CMF1,820000000
58,MERO,1191,JESTHA 2079,CMF1,820000000
59,NMFBS,540,JESTHA 2079,CMF1,820000000
60,NUBL,20284,JESTHA 2079,CMF1,820000000
61,RMDC,2278,JESTHA 2079,CMF1,820000000
62,SABSL,9,JESTHA 2079,CMF1,820000000
63,SKBBL,7257,JESTHA 2079,CMF1,820000000
