,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,4100,Kartik 2078,CMF1,820000000
1,CBL,1,Kartik 2078,CMF1,820000000
2,EBL,490,Kartik 2078,CMF1,820000000
3,GBIME,66774,Kartik 2078,CMF1,820000000
4,HBL,23548,Kartik 2078,CMF1,820000000
5,KBL,74471,Kartik 2078,CMF1,820000000
6,LBL,570,Kartik 2078,CMF1,820000000
7,MBL,1745,Kartik 2078,CMF1,820000000
8,MEGA,68887,Kartik 2078,CMF1,820000000
9,NABIL,7990,Kartik 2078,CMF1,820000000
10,NBB,1456,Kartik 2078,CMF1,820000000
11,NBL,6845,Kartik 2078,CMF1,820000000
12,NIBPO,2979,Kartik 2078,CMF1,820000000
13,NIB,5000,Kartik 2078,CMF1,820000000
14,NICA,43568,Kartik 2078,CMF1,820000000
15,NMB,57202,Kartik 2078,CMF1,820000000
16,PRVU,66738,Kartik 2078,CMF1,820000000
17,PCBL,51311,Kartik 2078,CMF1,820000000
18,SANIMA,27014,Kartik 2078,CMF1,820000000
19,SBL,46412,Kartik 2078,CMF1,820000000
20,SCB,556,Kartik 2078,CMF1,820000000
21,GBBL,17301,Kartik 2078,CMF1,820000000
22,JBBL,1300,Kartik 2078,CMF1,820000000
23,LBBL,20031,Kartik 2078,CMF1,820000000
24,KSBBL,3097,Kartik 2078,CMF1,820000000
25,MNBBL,10615,Kartik 2078,CMF1,820000000
26,MLBL,1,Kartik 2078,CMF1,820000000
27,SADBL,1,Kartik 2078,CMF1,820000000
28,CFCL,3,Kartik 2078,CMF1,820000000
29,ICFC,210,Kartik 2078,CMF1,820000000
30,JFL,1300,Kartik 2078,CMF1,820000000
31,GFCL,1630,Kartik 2078,CMF1,820000000
32,SIFC,1,Kartik 2078,CMF1,820000000
33,OHL,1,Kartik 2078,CMF1,820000000
34,TPC,1714,Kartik 2078,CMF1,820000000
35,BPCL,100,Kartik 2078,CMF1,820000000
36,SAHAS,12865,Kartik 2078,CMF1,820000000
37,SHPC,670,Kartik 2078,CMF1,820000000
38,ALICL,13964,Kartik 2078,CMF1,820000000
39,LICN,6327,Kartik 2078,CMF1,820000000
40,NLICL,8361,Kartik 2078,CMF1,820000000
41,NLIC,22793,Kartik 2078,CMF1,820000000
42,PLIC,8996,Kartik 2078,CMF1,820000000
43,ULI,5578,Kartik 2078,CMF1,820000000
44,SLI,4072,Kartik 2078,CMF1,820000000
45,SLICL,8,Kartik 2078,CMF1,820000000
46,ACLBSL,3,Kartik 2078,CMF1,820000000
47,CBBL,21393,Kartik 2078,CMF1,820000000
48,DDBL,18218,Kartik 2078,CMF1,820000000
49,NUBL,15625,Kartik 2078,CMF1,820000000
50,RMDC,3009,Kartik 2078,CMF1,820000000
51,GILB,100,Kartik 2078,CMF1,820000000
52,NMFBS,350,Kartik 2078,CMF1,820000000
53,MLBS,844,Kartik 2078,CMF1,820000000
54,SABSL,7,Kartik 2078,CMF1,820000000
55,SWBBL,12115,Kartik 2078,CMF1,820000000
56,JBLB,1393,Kartik 2078,CMF1,820000000
57,FOWAD,2578,Kartik 2078,CMF1,820000000
58,SKBBL,8724,Kartik 2078,CMF1,820000000
59,NIL,14746,Kartik 2078,CMF1,820000000
60,NLG,2200,Kartik 2078,CMF1,820000000
61,PICL,2,Kartik 2078,CMF1,820000000
62,PRIN,1,Kartik 2078,CMF1,820000000
63,SICL,19403,Kartik 2078,CMF1,820000000
64,PIC,12319,Kartik 2078,CMF1,820000000
65,SIC,11459,Kartik 2078,CMF1,820000000
66,SIL,11146,Kartik 2078,CMF1,820000000
67,NIBLSF,250000,Kartik 2078,CMF1,820000000
68,HDL,350,Kartik 2078,CMF1,820000000
69,CIT,696,Kartik 2078,CMF1,820000000
70,NTC,4,Kartik 2078,CMF1,820000000
71,SAMAJ,195,Kartik 2078,CMF1,820000000
72,BNHC,1600,Kartik 2078,CMF1,820000000
73,MBKHCL,18000,Kartik 2078,CMF1,820000000
74,SPC,1460,Kartik 2078,CMF1,820000000
75,NYADI,4500,Kartik 2078,CMF1,820000000
76,MEGAMF1,50000,Kartik 2078,CMF1,820000000
77,ADBL,12399,Kartik 2078,CMF2,560000000
78,EBL,200,Kartik 2078,CMF2,560000000
79,GBIME,42704,Kartik 2078,CMF2,560000000
80,HBL,22270,Kartik 2078,CMF2,560000000
81,KBL,43354,Kartik 2078,CMF2,560000000
82,LBL,600,Kartik 2078,CMF2,560000000
83,MEGA,33950,Kartik 2078,CMF2,560000000
84,NABIL,37140,Kartik 2078,CMF2,560000000
85,NBB,2464,Kartik 2078,CMF2,560000000
86,NBL,701,Kartik 2078,CMF2,560000000
87,NIB,5000,Kartik 2078,CMF2,560000000
88,NIBPO,607,Kartik 2078,CMF2,560000000
89,SBI,1000,Kartik 2078,CMF2,560000000
90,NICA,27430,Kartik 2078,CMF2,560000000
91,NMB,40609,Kartik 2078,CMF2,560000000
92,PRVU,38289,Kartik 2078,CMF2,560000000
93,PCBL,33633,Kartik 2078,CMF2,560000000
94,SANIMA,13500,Kartik 2078,CMF2,560000000
95,SBL,24000,Kartik 2078,CMF2,560000000
96,EDBL,1120,Kartik 2078,CMF2,560000000
97,GBBL,6259,Kartik 2078,CMF2,560000000
98,JBBL,1585,Kartik 2078,CMF2,560000000
99,LBBL,6920,Kartik 2078,CMF2,560000000
100,KSBBL,2210,Kartik 2078,CMF2,560000000
101,MDB,1880,Kartik 2078,CMF2,560000000
102,MNBBL,5376,Kartik 2078,CMF2,560000000
103,SHINE,1500,Kartik 2078,CMF2,560000000
104,ICFC,4610,Kartik 2078,CMF2,560000000
105,GFCL,1390,Kartik 2078,CMF2,560000000
106,JFL,930,Kartik 2078,CMF2,560000000
107,PFL,185,Kartik 2078,CMF2,560000000
108,SIFC,3120,Kartik 2078,CMF2,560000000
109,SHPC,664,Kartik 2078,CMF2,560000000
110,TPC,1143,Kartik 2078,CMF2,560000000
111,SAHAS,8293,Kartik 2078,CMF2,560000000
112,ALICL,11511,Kartik 2078,CMF2,560000000
113,LICN,4935,Kartik 2078,CMF2,560000000
114,NLICL,4252,Kartik 2078,CMF2,560000000
115,NLIC,16020,Kartik 2078,CMF2,560000000
116,PLIC,5585,Kartik 2078,CMF2,560000000
117,SLI,4491,Kartik 2078,CMF2,560000000
118,SLICL,90,Kartik 2078,CMF2,560000000
119,ULI,2923,Kartik 2078,CMF2,560000000
120,CBBL,7946,Kartik 2078,CMF2,560000000
121,DDBL,12919,Kartik 2078,CMF2,560000000
122,FOWAD,1912,Kartik 2078,CMF2,560000000
123,NUBL,8168,Kartik 2078,CMF2,560000000
124,JBLB,1177,Kartik 2078,CMF2,560000000
125,RMDC,1141,Kartik 2078,CMF2,560000000
126,NMFBS,186,Kartik 2078,CMF2,560000000
127,SKBBL,10107,Kartik 2078,CMF2,560000000
128,SWBBL,10700,Kartik 2078,CMF2,560000000
129,MLBS,563,Kartik 2078,CMF2,560000000
130,HGI,4,Kartik 2078,CMF2,560000000
131,LGIL,3,Kartik 2078,CMF2,560000000
132,NIL,12032,Kartik 2078,CMF2,560000000
133,NLG,2808,Kartik 2078,CMF2,560000000
134,PIC,13473,Kartik 2078,CMF2,560000000
135,SIC,11650,Kartik 2078,CMF2,560000000
136,SICL,15287,Kartik 2078,CMF2,560000000
137,SIL,10600,Kartik 2078,CMF2,560000000
138,NICSF,100000,Kartik 2078,CMF2,560000000
139,KEF,50000,Kartik 2078,CMF2,560000000
140,NIBSF2,200000,Kartik 2078,CMF2,560000000
141,RMF1,100000,Kartik 2078,CMF2,560000000
142,CIT,300,Kartik 2078,CMF2,560000000
143,HDL,150,Kartik 2078,CMF2,560000000
144,SAMAJ,195,Kartik 2078,CMF2,560000000
145,MEGAMF1,50000,Kartik 2078,CMF2,560000000
146,BNHC,1067,Kartik 2078,CMF2,560000000
147,MBKHCL,12000,Kartik 2078,CMF2,560000000
148,SPC,973,Kartik 2078,CMF2,560000000
149,NYADI,3000,Kartik 2078,CMF2,560000000
150,CCBLPO,121360,Kartik 2078,GIMES1,1000000000
151,NIBPO,39738,Kartik 2078,GIMES1,1000000000
152,GBIME,2901,Kartik 2078,GIMES1,1000000000
153,MBL,52653,Kartik 2078,GIMES1,1000000000
154,SCB,4960,Kartik 2078,GIMES1,1000000000
155,LBL,16331,Kartik 2078,GIMES1,1000000000
156,NBB,63477,Kartik 2078,GIMES1,1000000000
157,CCBL,232269,Kartik 2078,GIMES1,1000000000
158,CBL,221269,Kartik 2078,GIMES1,1000000000
159,CZBIL,29535,Kartik 2078,GIMES1,1000000000
160,EBLCP,1944,Kartik 2078,GIMES1,1000000000
161,MDB,18940,Kartik 2078,GIMES1,1000000000
162,KSBBL,154132,Kartik 2078,GIMES1,1000000000
163,JBBL,47656,Kartik 2078,GIMES1,1000000000
164,SADBL,48762,Kartik 2078,GIMES1,1000000000
165,LBBL,11249,Kartik 2078,GIMES1,1000000000
166,AKBSL,940,Kartik 2078,GIMES1,1000000000
167,SKBBL,36417,Kartik 2078,GIMES1,1000000000
168,NLBBL,1,Kartik 2078,GIMES1,1000000000
169,ACLBSL,1000,Kartik 2078,GIMES1,1000000000
170,SAMAJ,391,Kartik 2078,GIMES1,1000000000
171,MLBS,1406,Kartik 2078,GIMES1,1000000000
172,CBBL,30556,Kartik 2078,GIMES1,1000000000
173,SWBBL,1,Kartik 2078,GIMES1,1000000000
174,FMDBL,101391,Kartik 2078,GIMES1,1000000000
175,KLBSL,3107,Kartik 2078,GIMES1,1000000000
176,GFCL,58993,Kartik 2078,GIMES1,1000000000
177,MFIL,32734,Kartik 2078,GIMES1,1000000000
178,SFFIL,235,Kartik 2078,GIMES1,1000000000
179,MEN,33964,Kartik 2078,GIMES1,1000000000
180,AKPL,402,Kartik 2078,GIMES1,1000000000
181,HPPL,93432,Kartik 2078,GIMES1,1000000000
182,HURJA,68605,Kartik 2078,GIMES1,1000000000
183,MHNL,48246,Kartik 2078,GIMES1,1000000000
184,SPDL,55988,Kartik 2078,GIMES1,1000000000
185,API,4415,Kartik 2078,GIMES1,1000000000
186,GLH,152949,Kartik 2078,GIMES1,1000000000
187,AHPC,9659,Kartik 2078,GIMES1,1000000000
188,NHPC,46340,Kartik 2078,GIMES1,1000000000
189,TPC,2857,Kartik 2078,GIMES1,1000000000
190,MKJC,2630,Kartik 2078,GIMES1,1000000000
191,SHPC,29000,Kartik 2078,GIMES1,1000000000
192,NGPL,209332,Kartik 2078,GIMES1,1000000000
193,ULI,436,Kartik 2078,GIMES1,1000000000
194,SLI,6979,Kartik 2078,GIMES1,1000000000
195,PLIC,21040,Kartik 2078,GIMES1,1000000000
196,LICN,1841,Kartik 2078,GIMES1,1000000000
197,JLI,1832,Kartik 2078,GIMES1,1000000000
198,NLIC,1,Kartik 2078,GIMES1,1000000000
199,NLICL,71956,Kartik 2078,GIMES1,1000000000
200,PLI,41551,Kartik 2078,GIMES1,1000000000
201,RBCLPO,10260,Kartik 2078,GIMES1,1000000000
202,EICPO,36211,Kartik 2078,GIMES1,1000000000
203,IGI,112174,Kartik 2078,GIMES1,1000000000
204,NIL,20258,Kartik 2078,GIMES1,1000000000
205,SICL,5715,Kartik 2078,GIMES1,1000000000
206,EIC,101,Kartik 2078,GIMES1,1000000000
207,LGIL,10000,Kartik 2078,GIMES1,1000000000
208,NLG,319,Kartik 2078,GIMES1,1000000000
209,UIC,9967,Kartik 2078,GIMES1,1000000000
210,PIC,3586,Kartik 2078,GIMES1,1000000000
211,CGH,20735,Kartik 2078,GIMES1,1000000000
212,CMF1,2681420,Kartik 2078,GIMES1,1000000000
213,NEF,364934,Kartik 2078,GIMES1,1000000000
214,NICGF,221489,Kartik 2078,GIMES1,1000000000
