,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,4920,MAGH 2078,CMF1,820000000
1,CBL,1,MAGH 2078,CMF1,820000000
2,CZBIL,1,MAGH 2078,CMF1,820000000
3,EBL,519,MAGH 2078,CMF1,820000000
4,GBIME,73451,MAGH 2078,CMF1,820000000
5,HBL,28582,MAGH 2078,CMF1,820000000
6,KBL,74472,MAGH 2078,CMF1,820000000
7,LBL,14201,MAGH 2078,CMF1,820000000
8,MBL,37676,MAGH 2078,CMF1,820000000
9,MEGA,80449,MAGH 2078,CMF1,820000000
10,NABIL,6942,MAGH 2078,CMF1,820000000
11,NBB,1456,MAGH 2078,CMF1,820000000
12,NBL,7803,MAGH 2078,CMF1,820000000
13,NIBPO,3353,MAGH 2078,CMF1,820000000
14,NIB,5630,MAGH 2078,CMF1,820000000
15,NICA,44468,MAGH 2078,CMF1,820000000
16,NMB,65652,MAGH 2078,CMF1,820000000
17,PRVU,75446,MAGH 2078,CMF1,820000000
18,PCBL,55760,MAGH 2078,CMF1,820000000
19,SANIMA,48737,MAGH 2078,CMF1,820000000
20,SBL,57799,MAGH 2078,CMF1,820000000
21,SCB,611,MAGH 2078,CMF1,820000000
22,GBBL,13650,MAGH 2078,CMF1,820000000
23,JBBL,4231,MAGH 2078,CMF1,820000000
24,LBBL,22635,MAGH 2078,CMF1,820000000
25,KSBBL,2557,MAGH 2078,CMF1,820000000
26,MNBBL,15162,MAGH 2078,CMF1,820000000
27,MLBL,2641,MAGH 2078,CMF1,820000000
28,EDBL,1,MAGH 2078,CMF1,820000000
29,SADBL,1,MAGH 2078,CMF1,820000000
30,CFCL,3,MAGH 2078,CMF1,820000000
31,ICFC,3991,MAGH 2078,CMF1,820000000
32,JFL,3795,MAGH 2078,CMF1,820000000
33,GFCL,5882,MAGH 2078,CMF1,820000000
34,SIFC,1,MAGH 2078,CMF1,820000000
35,OHL,1,MAGH 2078,CMF1,820000000
36,BPCL,21,MAGH 2078,CMF1,820000000
37,SAHAS,1571,MAGH 2078,CMF1,820000000
