,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,4100,Mangsir 2078,CMF1,820000000
1,CBL,1,Mangsir 2078,CMF1,820000000
2,EBL,519,Mangsir 2078,CMF1,820000000
3,GBIME,73451,Mangsir 2078,CMF1,820000000
4,HBL,23548,Mangsir 2078,CMF1,820000000
5,KBL,74471,Mangsir 2078,CMF1,820000000
6,LBL,715,Mangsir 2078,CMF1,820000000
7,MBL,4545,Mangsir 2078,CMF1,820000000
8,MEGA,75775,Mangsir 2078,CMF1,820000000
9,NABIL,6297,Mangsir 2078,CMF1,820000000
10,NBB,1456,Mangsir 2078,CMF1,820000000
11,NBL,7803,Mangsir 2078,CMF1,820000000
12,NIBPO,3353,Mangsir 2078,CMF1,820000000
13,NIB,5630,Mangsir 2078,CMF1,820000000
14,NICA,43568,Mangsir 2078,CMF1,820000000
15,NMB,57202,Mangsir 2078,CMF1,820000000
16,PRVU,66738,Mangsir 2078,CMF1,820000000
17,PCBL,58418,Mangsir 2078,CMF1,820000000
18,SANIMA,27014,Mangsir 2078,CMF1,820000000
19,SBL,48112,Mangsir 2078,CMF1,820000000
20,SCB,611,Mangsir 2078,CMF1,820000000
21,GBBL,18701,Mangsir 2078,CMF1,820000000
22,JBBL,2600,Mangsir 2078,CMF1,820000000
23,LBBL,22635,Mangsir 2078,CMF1,820000000
24,KSBBL,2208,Mangsir 2078,CMF1,820000000
25,MNBBL,12480,Mangsir 2078,CMF1,820000000
26,MLBL,1,Mangsir 2078,CMF1,820000000
27,EDBL,1,Mangsir 2078,CMF1,820000000
28,SADBL,1,Mangsir 2078,CMF1,820000000
29,CFCL,3,Mangsir 2078,CMF1,820000000
30,ICFC,1991,Mangsir 2078,CMF1,820000000
31,JFL,1300,Mangsir 2078,CMF1,820000000
32,GFCL,3580,Mangsir 2078,CMF1,820000000
33,SIFC,1,Mangsir 2078,CMF1,820000000
34,OHL,1,Mangsir 2078,CMF1,820000000
35,BPCL,213,Mangsir 2078,CMF1,820000000
36,SAHAS,10605,Mangsir 2078,CMF1,820000000
37,SPC,450,Mangsir 2078,CMF1,820000000
38,NYADI,3280,Mangsir 2078,CMF1,820000000
39,SHPC,670,Mangsir 2078,CMF1,820000000
40,ALICL,13964,Mangsir 2078,CMF1,820000000
41,LICN,6327,Mangsir 2078,CMF1,820000000
42,NLICL,8361,Mangsir 2078,CMF1,820000000
43,NLIC,22793,Mangsir 2078,CMF1,820000000
44,PLIC,10345,Mangsir 2078,CMF1,820000000
45,ULI,4498,Mangsir 2078,CMF1,820000000
46,SLI,2135,Mangsir 2078,CMF1,820000000
47,SLICL,1742,Mangsir 2078,CMF1,820000000
48,ACLBSL,3,Mangsir 2078,CMF1,820000000
49,CBBL,21393,Mangsir 2078,CMF1,820000000
50,DDBL,18218,Mangsir 2078,CMF1,820000000
51,NUBL,15625,Mangsir 2078,CMF1,820000000
52,RMDC,2909,Mangsir 2078,CMF1,820000000
53,GILB,100,Mangsir 2078,CMF1,820000000
54,NMFBS,350,Mangsir 2078,CMF1,820000000
55,MLBS,824,Mangsir 2078,CMF1,820000000
56,SABSL,7,Mangsir 2078,CMF1,820000000
57,SWBBL,12115,Mangsir 2078,CMF1,820000000
58,JBLB,1243,Mangsir 2078,CMF1,820000000
59,FOWAD,2578,Mangsir 2078,CMF1,820000000
60,SKBBL,8724,Mangsir 2078,CMF1,820000000
61,NIL,14746,Mangsir 2078,CMF1,820000000
62,NLG,2200,Mangsir 2078,CMF1,820000000
63,PICL,2,Mangsir 2078,CMF1,820000000
64,PRIN,1,Mangsir 2078,CMF1,820000000
65,SICL,19403,Mangsir 2078,CMF1,820000000
66,PIC,12519,Mangsir 2078,CMF1,820000000
67,SIC,11659,Mangsir 2078,CMF1,820000000
68,SIL,12096,Mangsir 2078,CMF1,820000000
69,MMF1,50000,Mangsir 2078,CMF1,820000000
70,NIBLSF,250000,Mangsir 2078,CMF1,820000000
71,HDL,350,Mangsir 2078,CMF1,820000000
72,CIT,696,Mangsir 2078,CMF1,820000000
73,NTC,4,Mangsir 2078,CMF1,820000000
74,SAMAJ,195,Mangsir 2078,CMF1,820000000
75,BNHC,1600,Mangsir 2078,CMF1,820000000
76,MBKHCL,18000,Mangsir 2078,CMF1,820000000
77,ADBL,11850,Mangsir 2078,CMF2,560000000
78,EBL,212,Mangsir 2078,CMF2,560000000
79,GBIME,46974,Mangsir 2078,CMF2,560000000
80,HBL,22270,Mangsir 2078,CMF2,560000000
81,KBL,43354,Mangsir 2078,CMF2,560000000
82,LBL,1048,Mangsir 2078,CMF2,560000000
83,MEGA,38395,Mangsir 2078,CMF2,560000000
84,NABIL,31384,Mangsir 2078,CMF2,560000000
85,MBL,573,Mangsir 2078,CMF2,560000000
86,NBB,2464,Mangsir 2078,CMF2,560000000
87,NBL,1,Mangsir 2078,CMF2,560000000
88,NIB,5630,Mangsir 2078,CMF2,560000000
89,NIBPO,683,Mangsir 2078,CMF2,560000000
90,SBI,1000,Mangsir 2078,CMF2,560000000
91,NICA,27430,Mangsir 2078,CMF2,560000000
92,NMB,40609,Mangsir 2078,CMF2,560000000
93,PRVU,38289,Mangsir 2078,CMF2,560000000
94,PCBL,37676,Mangsir 2078,CMF2,560000000
95,SANIMA,13500,Mangsir 2078,CMF2,560000000
96,SBL,24400,Mangsir 2078,CMF2,560000000
97,EDBL,1421,Mangsir 2078,CMF2,560000000
98,GBBL,7209,Mangsir 2078,CMF2,560000000
99,JBBL,2550,Mangsir 2078,CMF2,560000000
100,LBBL,7819,Mangsir 2078,CMF2,560000000
101,KSBBL,1282,Mangsir 2078,CMF2,560000000
102,MDB,1880,Mangsir 2078,CMF2,560000000
103,MNBBL,5850,Mangsir 2078,CMF2,560000000
104,SHINE,1663,Mangsir 2078,CMF2,560000000
105,ICFC,6648,Mangsir 2078,CMF2,560000000
106,GFCL,2590,Mangsir 2078,CMF2,560000000
107,JFL,1898,Mangsir 2078,CMF2,560000000
108,PFL,185,Mangsir 2078,CMF2,560000000
109,SIFC,2820,Mangsir 2078,CMF2,560000000
110,NYADI,2247,Mangsir 2078,CMF2,560000000
111,SAHAS,7200,Mangsir 2078,CMF2,560000000
112,SHPC,664,Mangsir 2078,CMF2,560000000
113,ALICL,11511,Mangsir 2078,CMF2,560000000
114,LICN,4935,Mangsir 2078,CMF2,560000000
115,NLICL,4252,Mangsir 2078,CMF2,560000000
116,NLIC,16020,Mangsir 2078,CMF2,560000000
117,PLIC,6422,Mangsir 2078,CMF2,560000000
118,SLI,2561,Mangsir 2078,CMF2,560000000
119,SLICL,1181,Mangsir 2078,CMF2,560000000
120,ULI,1280,Mangsir 2078,CMF2,560000000
121,CBBL,6354,Mangsir 2078,CMF2,560000000
122,DDBL,12919,Mangsir 2078,CMF2,560000000
123,FOWAD,1912,Mangsir 2078,CMF2,560000000
124,NUBL,6748,Mangsir 2078,CMF2,560000000
125,JBLB,987,Mangsir 2078,CMF2,560000000
126,RMDC,1141,Mangsir 2078,CMF2,560000000
127,NMFBS,186,Mangsir 2078,CMF2,560000000
128,SKBBL,8637,Mangsir 2078,CMF2,560000000
129,SWBBL,10300,Mangsir 2078,CMF2,560000000
130,MLBS,543,Mangsir 2078,CMF2,560000000
131,HGI,4,Mangsir 2078,CMF2,560000000
132,LGIL,3,Mangsir 2078,CMF2,560000000
133,NIL,12032,Mangsir 2078,CMF2,560000000
134,NLG,2808,Mangsir 2078,CMF2,560000000
135,PIC,13473,Mangsir 2078,CMF2,560000000
136,SIC,11650,Mangsir 2078,CMF2,560000000
137,SICL,15287,Mangsir 2078,CMF2,560000000
138,SIL,10600,Mangsir 2078,CMF2,560000000
139,MMF1,50000,Mangsir 2078,CMF2,560000000
140,NICSF,100000,Mangsir 2078,CMF2,560000000
141,KEF,50000,Mangsir 2078,CMF2,560000000
142,NIBSF2,200000,Mangsir 2078,CMF2,560000000
143,RMF1,100000,Mangsir 2078,CMF2,560000000
144,CIT,300,Mangsir 2078,CMF2,560000000
145,HDL,150,Mangsir 2078,CMF2,560000000
146,SAMAJ,195,Mangsir 2078,CMF2,560000000
147,BNHC,1067,Mangsir 2078,CMF2,560000000
148,MBKHCL,12000,Mangsir 2078,CMF2,560000000
149,CCBLPO,121360,Mangsir 2078,GIMES1,1000000000
150,NIBPO,39738,Mangsir 2078,GIMES1,1000000000
151,GBIME,2901,Mangsir 2078,GIMES1,1000000000
152,MBL,18313,Mangsir 2078,GIMES1,1000000000
153,LBL,6047,Mangsir 2078,GIMES1,1000000000
154,NBB,31752,Mangsir 2078,GIMES1,1000000000
155,CCBL,90839,Mangsir 2078,GIMES1,1000000000
156,CBL,8845,Mangsir 2078,GIMES1,1000000000
157,CZBIL,23818,Mangsir 2078,GIMES1,1000000000
158,ADBL,1192,Mangsir 2078,GIMES1,1000000000
159,SBL,2000,Mangsir 2078,GIMES1,1000000000
160,KBL,1320,Mangsir 2078,GIMES1,1000000000
161,MEGA,5531,Mangsir 2078,GIMES1,1000000000
162,MDB,12458,Mangsir 2078,GIMES1,1000000000
163,KSBBL,129678,Mangsir 2078,GIMES1,1000000000
164,JBBL,1788,Mangsir 2078,GIMES1,1000000000
165,SADBL,23450,Mangsir 2078,GIMES1,1000000000
166,LBBL,6259,Mangsir 2078,GIMES1,1000000000
167,SHINE,2000,Mangsir 2078,GIMES1,1000000000
168,GBBL,1530,Mangsir 2078,GIMES1,1000000000
169,MNBBL,2000,Mangsir 2078,GIMES1,1000000000
170,MLBL,1500,Mangsir 2078,GIMES1,1000000000
171,AKBSL,940,Mangsir 2078,GIMES1,1000000000
172,SKBBL,6023,Mangsir 2078,GIMES1,1000000000
173,NLBBL,1,Mangsir 2078,GIMES1,1000000000
174,ACLBSL,1000,Mangsir 2078,GIMES1,1000000000
175,SAMAJ,391,Mangsir 2078,GIMES1,1000000000
176,SWBBL,1,Mangsir 2078,GIMES1,1000000000
177,FMDBL,72481,Mangsir 2078,GIMES1,1000000000
178,KLBSL,430,Mangsir 2078,GIMES1,1000000000
179,CLBSL,1000,Mangsir 2078,GIMES1,1000000000
180,MSLB,1,Mangsir 2078,GIMES1,1000000000
181,RMDC,1109,Mangsir 2078,GIMES1,1000000000
182,FOWAD,650,Mangsir 2078,GIMES1,1000000000
183,GFCL,43693,Mangsir 2078,GIMES1,1000000000
184,MFIL,20814,Mangsir 2078,GIMES1,1000000000
185,RLFL,1300,Mangsir 2078,GIMES1,1000000000
186,ICFC,2000,Mangsir 2078,GIMES1,1000000000
187,MEN,39454,Mangsir 2078,GIMES1,1000000000
188,HPPL,86537,Mangsir 2078,GIMES1,1000000000
189,HURJA,59705,Mangsir 2078,GIMES1,1000000000
190,MHNL,14196,Mangsir 2078,GIMES1,1000000000
191,SPDL,25088,Mangsir 2078,GIMES1,1000000000
192,API,2774,Mangsir 2078,GIMES1,1000000000
193,GLH,121798,Mangsir 2078,GIMES1,1000000000
194,AHPC,7151,Mangsir 2078,GIMES1,1000000000
195,NHPC,6000,Mangsir 2078,GIMES1,1000000000
196,MKJC,391,Mangsir 2078,GIMES1,1000000000
197,SHPC,29575,Mangsir 2078,GIMES1,1000000000
198,NGPL,149417,Mangsir 2078,GIMES1,1000000000
199,CHCL,5350,Mangsir 2078,GIMES1,1000000000
200,UPPER,4000,Mangsir 2078,GIMES1,1000000000
201,SPC,1153,Mangsir 2078,GIMES1,1000000000
202,NYADI,560,Mangsir 2078,GIMES1,1000000000
203,ULI,6030,Mangsir 2078,GIMES1,1000000000
204,PLIC,2000,Mangsir 2078,GIMES1,1000000000
205,LICN,3941,Mangsir 2078,GIMES1,1000000000
206,JLI,1100,Mangsir 2078,GIMES1,1000000000
207,NLIC,3001,Mangsir 2078,GIMES1,1000000000
208,NLICL,18728,Mangsir 2078,GIMES1,1000000000
209,PLI,26366,Mangsir 2078,GIMES1,1000000000
210,GLICL,2300,Mangsir 2078,GIMES1,1000000000
211,SLICL,1000,Mangsir 2078,GIMES1,1000000000
212,RBCLPO,7472,Mangsir 2078,GIMES1,1000000000
213,EICPO,16573,Mangsir 2078,GIMES1,1000000000
214,IGI,107168,Mangsir 2078,GIMES1,1000000000
215,NIL,5758,Mangsir 2078,GIMES1,1000000000
216,SICL,1078,Mangsir 2078,GIMES1,1000000000
217,EIC,5199,Mangsir 2078,GIMES1,1000000000
218,LGIL,1000,Mangsir 2078,GIMES1,1000000000
219,NLG,2316,Mangsir 2078,GIMES1,1000000000
220,UIC,2000,Mangsir 2078,GIMES1,1000000000
221,PIC,397,Mangsir 2078,GIMES1,1000000000
222,RBCL,100,Mangsir 2078,GIMES1,1000000000
223,PRIN,1066,Mangsir 2078,GIMES1,1000000000
224,CGH,20735,Mangsir 2078,GIMES1,1000000000
225,CMF1,2681420,Mangsir 2078,GIMES1,1000000000
226,NEF,193133,Mangsir 2078,GIMES1,1000000000
227,NICGF,101789,Mangsir 2078,GIMES1,1000000000
228,LEMF,138300,Mangsir 2078,GIMES1,1000000000
229,SFMF,2924076,Mangsir 2078,GIMES1,1000000000
230,SAEF,34874,Mangsir 2078,GIMES1,1000000000
231,SEF,672866,Mangsir 2078,GIMES1,1000000000
232,NIBSF1,91878,Mangsir 2078,GIMES1,1000000000
233,NBF2,14205,Mangsir 2078,GIMES1,1000000000
234,PSF,545650,Mangsir 2078,GIMES1,1000000000
235,SIGS2,14700,Mangsir 2078,GIMES1,1000000000
236,SLCF,500000,Mangsir 2078,GIMES1,1000000000
237,NRIC,18922,Mangsir 2078,GIMES1,1000000000
238,CIT,1000,Mangsir 2078,GIMES1,1000000000
239,HIDCL,1,Mangsir 2078,GIMES1,1000000000
240,HDL,26451,Mangsir 2078,GIMES1,1000000000
241,SHIVM,27626,Mangsir 2078,GIMES1,1000000000
242,SANIMA,7,Mangsir 2078,KEF,1000000000
243,NICA,23139,Mangsir 2078,KEF,1000000000
244,MBL,21850,Mangsir 2078,KEF,1000000000
245,SBL,34516,Mangsir 2078,KEF,1000000000
246,CZBIL,20092,Mangsir 2078,KEF,1000000000
247,PRVU,24992,Mangsir 2078,KEF,1000000000
248,NIBPO,46852,Mangsir 2078,KEF,1000000000
249,NMB,15001,Mangsir 2078,KEF,1000000000
250,LBL,54922,Mangsir 2078,KEF,1000000000
251,ADBL,10000,Mangsir 2078,KEF,1000000000
252,GBIME,2000,Mangsir 2078,KEF,1000000000
253,MNBBL,27000,Mangsir 2078,KEF,1000000000
254,LBBL,5000,Mangsir 2078,KEF,1000000000
255,NUBL,19082,Mangsir 2078,KEF,1000000000
256,CBBL,7590,Mangsir 2078,KEF,1000000000
257,FOWAD,9352,Mangsir 2078,KEF,1000000000
258,LLBS,19977,Mangsir 2078,KEF,1000000000
259,SWBBL,3815,Mangsir 2078,KEF,1000000000
260,JBLB,2000,Mangsir 2078,KEF,1000000000
261,MLBSL,2,Mangsir 2078,KEF,1000000000
262,MLBS,1000,Mangsir 2078,KEF,1000000000
263,NICLBSL,8188,Mangsir 2078,KEF,1000000000
264,LICN,8182,Mangsir 2078,KEF,1000000000
265,NLICL,24363,Mangsir 2078,KEF,1000000000
266,SIC,11900,Mangsir 2078,KEF,1000000000
267,NIL,15796,Mangsir 2078,KEF,1000000000
268,NIBSF1,261600,Mangsir 2078,KEF,1000000000
269,NICBF,542835,Mangsir 2078,KEF,1000000000
270,SBCF,1226360,Mangsir 2078,KEF,1000000000
271,NEF,119822,Mangsir 2078,KEF,1000000000
272,PSF,500000,Mangsir 2078,KEF,1000000000
273,NIBSF2,958500,Mangsir 2078,KEF,1000000000
274,NMBHF1,195740,Mangsir 2078,KEF,1000000000
275,NMB50,568600,Mangsir 2078,KEF,1000000000
276,RMF1,1000000,Mangsir 2078,KEF,1000000000
277,NICSF,1000000,Mangsir 2078,KEF,1000000000
278,MMF1,436330,Mangsir 2078,KEF,1000000000
279,HDL,200,Mangsir 2078,KEF,1000000000
280,BNT,410,Mangsir 2078,KEF,1000000000
281,SAHAS,5000,Mangsir 2078,KEF,1000000000
282,SPC,993,Mangsir 2078,KEF,1000000000
283,ADBL,38811,Mangsir 2078,LEMF,1250000000
284,API,44345,Mangsir 2078,LEMF,1250000000
285,AKPL,7000,Mangsir 2078,LEMF,1250000000
286,ALBSL,2387,Mangsir 2078,LEMF,1250000000
287,BOKL,5932,Mangsir 2078,LEMF,1250000000
288,BPCL,1,Mangsir 2078,LEMF,1250000000
