,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,4920,Poush 2078,CMF1,820000000
1,CBL,1,Poush 2078,CMF1,820000000
2,CZBIL,1,Poush 2078,CMF1,820000000
3,EBL,519,Poush 2078,CMF1,820000000
4,GBIME,73451,Poush 2078,CMF1,820000000
5,HBL,28582,Poush 2078,CMF1,820000000
6,KBL,74471,Poush 2078,CMF1,820000000
7,LBL,11151,Poush 2078,CMF1,820000000
8,MBL,30475,Poush 2078,CMF1,820000000
9,MEGA,78948,Poush 2078,CMF1,820000000
10,NABIL,7377,Poush 2078,CMF1,820000000
11,NBB,1456,Poush 2078,CMF1,820000000
12,NBL,7803,Poush 2078,CMF1,820000000
13,NIBPO,3353,Poush 2078,CMF1,820000000
14,NIB,5630,Poush 2078,CMF1,820000000
15,NICA,44168,Poush 2078,CMF1,820000000
16,NMB,65652,Poush 2078,CMF1,820000000
17,PRVU,75446,Poush 2078,CMF1,820000000
18,PCBL,59218,Poush 2078,CMF1,820000000
19,SANIMA,41713,Poush 2078,CMF1,820000000
20,SBL,60478,Poush 2078,CMF1,820000000
21,SCB,611,Poush 2078,CMF1,820000000
22,GBBL,18701,Poush 2078,CMF1,820000000
23,JBBL,4086,Poush 2078,CMF1,820000000
24,LBBL,22635,Poush 2078,CMF1,820000000
25,KSBBL,2408,Poush 2078,CMF1,820000000
26,MNBBL,12680,Poush 2078,CMF1,820000000
27,MLBL,601,Poush 2078,CMF1,820000000
28,EDBL,1,Poush 2078,CMF1,820000000
29,SADBL,1,Poush 2078,CMF1,820000000
30,CFCL,3,Poush 2078,CMF1,820000000
31,ICFC,1991,Poush 2078,CMF1,820000000
32,JFL,3300,Poush 2078,CMF1,820000000
33,GFCL,4342,Poush 2078,CMF1,820000000
34,SIFC,1,Poush 2078,CMF1,820000000
35,OHL,1,Poush 2078,CMF1,820000000
36,BPCL,234,Poush 2078,CMF1,820000000
37,SAHAS,7996,Poush 2078,CMF1,820000000
38,NYADI,18000,Poush 2078,CMF1,820000000
39,SHPC,770,Poush 2078,CMF1,820000000
40,ALICL,15164,Poush 2078,CMF1,820000000
41,LICN,6327,Poush 2078,CMF1,820000000
42,NLICL,8961,Poush 2078,CMF1,820000000
43,NLIC,22793,Poush 2078,CMF1,820000000
44,PLIC,15305,Poush 2078,CMF1,820000000
45,ULI,3398,Poush 2078,CMF1,820000000
46,SLICL,9536,Poush 2078,CMF1,820000000
47,ACLBSL,3,Poush 2078,CMF1,820000000
48,CBBL,27041,Poush 2078,CMF1,820000000
49,DDBL,18218,Poush 2078,CMF1,820000000
50,NUBL,20234,Poush 2078,CMF1,820000000
51,RMDC,3490,Poush 2078,CMF1,820000000
52,GILB,128,Poush 2078,CMF1,820000000
