,Stock,Quantity,Month,MFundName,Fund Size
0,ADBL,3500,Shrawan 2078,CMF1,820000000
1,CBL,1,Shrawan 2078,CMF1,820000000
2,EBL,490,Shrawan 2078,CMF1,820000000
3,GBIME,66974,Shrawan 2078,CMF1,820000000
4,HBL,23548,Shrawan 2078,CMF1,820000000
5,KBL,70456,Shrawan 2078,CMF1,820000000
6,LBL,470,Shrawan 2078,CMF1,820000000
7,MBL,1641,Shrawan 2078,CMF1,820000000
8,MEGA,68887,Shrawan 2078,CMF1,820000000
9,NABIL,14974,Shrawan 2078,CMF1,820000000
10,NBB,1100,Shrawan 2078,CMF1,820000000
11,NBL,6552,Shrawan 2078,CMF1,820000000
12,NIBPO,2979,Shrawan 2078,CMF1,820000000
13,NIB,5000,Shrawan 2078,CMF1,820000000
14,NICA,43568,Shrawan 2078,CMF1,820000000
15,NMB,57202,Shrawan 2078,CMF1,820000000
16,PRVU,66738,Shrawan 2078,CMF1,820000000
17,PCBL,69624,Shrawan 2078,CMF1,820000000
18,SANIMA,22389,Shrawan 2078,CMF1,820000000
19,SBL,50856,Shrawan 2078,CMF1,820000000
20,SCB,556,Shrawan 2078,CMF1,820000000
21,GBBL,22037,Shrawan 2078,CMF1,820000000
22,JBBL,3400,Shrawan 2078,CMF1,820000000
23,LBBL,22301,Shrawan 2078,CMF1,820000000
24,KSBBL,14596,Shrawan 2078,CMF1,820000000
25,MNBBL,16385,Shrawan 2078,CMF1,820000000
26,MLBL,1,Shrawan 2078,CMF1,820000000
27,MDB,2000,Shrawan 2078,CMF1,820000000
28,SHINE,2500,Shrawan 2078,CMF1,820000000
29,SADBL,1,Shrawan 2078,CMF1,820000000
30,CFCL,3,Shrawan 2078,CMF1,820000000
31,ICFC,5100,Shrawan 2078,CMF1,820000000
32,PFL,100,Shrawan 2078,CMF1,820000000
33,SIFC,3816,Shrawan 2078,CMF1,820000000
34,OHL,1,Shrawan 2078,CMF1,820000000
35,SHPC,800,Shrawan 2078,CMF1,820000000
36,ALICL,13964,Shrawan 2078,CMF1,820000000
37,LICN,6277,Shrawan 2078,CMF1,820000000
38,NLICL,8161,Shrawan 2078,CMF1,820000000
39,NLIC,22613,Shrawan 2078,CMF1,820000000
40,PLIC,8896,Shrawan 2078,CMF1,820000000
41,ULI,13821,Shrawan 2078,CMF1,820000000
42,SLICL,8,Shrawan 2078,CMF1,820000000
43,AKBSL,3,Shrawan 2078,CMF1,820000000
44,CBBL,20593,Shrawan 2078,CMF1,820000000
45,DDBL,15182,Shrawan 2078,CMF1,820000000
46,NUBL,15825,Shrawan 2078,CMF1,820000000
47,RMDC,4405,Shrawan 2078,CMF1,820000000
48,GILB,100,Shrawan 2078,CMF1,820000000
49,NMFBS,350,Shrawan 2078,CMF1,820000000
50,SABSL,7,Shrawan 2078,CMF1,820000000
51,SWBBL,15696,Shrawan 2078,CMF1,820000000
52,MKLB,898,Shrawan 2078,CMF1,820000000
53,JBLB,4563,Shrawan 2078,CMF1,820000000
54,FOWAD,2678,Shrawan 2078,CMF1,820000000
55,SKBBL,9804,Shrawan 2078,CMF1,820000000
56,NIL,14026,Shrawan 2078,CMF1,820000000
57,NLG,1700,Shrawan 2078,CMF1,820000000
58,PICL,2,Shrawan 2078,CMF1,820000000
59,PRIN,1,Shrawan 2078,CMF1,820000000
60,SICL,19403,Shrawan 2078,CMF1,820000000
61,PIC,12019,Shrawan 2078,CMF1,820000000
62,SIC,10882,Shrawan 2078,CMF1,820000000
63,SIL,9013,Shrawan 2078,CMF1,820000000
64,GIMES1,5000,Shrawan 2078,CMF1,820000000
65,NBF2,1886350,Shrawan 2078,CMF1,820000000
66,NEF,178063,Shrawan 2078,CMF1,820000000
67,NMBHF1,133279,Shrawan 2078,CMF1,820000000
68,NIBLSF,250000,Shrawan 2078,CMF1,820000000
69,HDL,360,Shrawan 2078,CMF1,820000000
70,CIT,696,Shrawan 2078,CMF1,820000000
71,NTC,4,Shrawan 2078,CMF1,820000000
72,SAMAJ,195,Shrawan 2078,CMF1,820000000
73,MSBSL,844,Shrawan 2078,CMF1,820000000
74,TPCL,1714,Shrawan 2078,CMF1,820000000
75,MKJVCL,1578,Shrawan 2078,CMF1,820000000
76,SLI,12857,Shrawan 2078,CMF1,820000000
77,ADBL,17496,Shrawan 2078,CMF2,560000000
78,EBL,200,Shrawan 2078,CMF2,560000000
79,MEGA,34281,Shrawan 2078,CMF2,560000000
80,NABIL,47749,Shrawan 2078,CMF2,560000000
81,NICA,27430,Shrawan 2078,CMF2,560000000
82,SBL,27979,Shrawan 2078,CMF2,560000000
83,NMB,40609,Shrawan 2078,CMF2,560000000
84,NIB,5000,Shrawan 2078,CMF2,560000000
85,NIBPO,607,Shrawan 2078,CMF2,560000000
86,SBI,1000,Shrawan 2078,CMF2,560000000
87,KBL,41400,Shrawan 2078,CMF2,560000000
88,HBL,22270,Shrawan 2078,CMF2,560000000
89,GBIME,45177,Shrawan 2078,CMF2,560000000
90,NBL,7397,Shrawan 2078,CMF2,560000000
91,PCBL,43634,Shrawan 2078,CMF2,560000000
92,PRVU,38289,Shrawan 2078,CMF2,560000000
93,NBB,1800,Shrawan 2078,CMF2,560000000
94,LBL,400,Shrawan 2078,CMF2,560000000
